Web ID,Region of Incident,ReportedDate,Reported_Year,Reported_Month,Number Dead,Minimum Estimated Number of Missing,TotalDeadandMissing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality,
51591,Mediterranean,28-Mar-19,2019,Mar,,2,2,36,,2,,Drowning,"Off the coast of Chios, Greece",Hellenic Coast Guard via IOM Greece,"38.362368696592, 26.172509473654",Eastern Mediterranean,,Uncategorized,5,
51588,Mediterranean,26-Mar-19,2019,Mar,4,,4,11,3,,1,Drowning,"Off the coast of Ayvacık district, Çanakkale province, Turkey",Turkish Coast Guard via IOM Turkey,"39.441975591614, 26.378816195919",Eastern Mediterranean,http,//bit.ly/2YmiPAN,Uncategorized,5
51589,Mediterranean,26-Mar-19,2019,Mar,1,,1,,,,,Drowning,"Body recovered on Playa del Tarajal, Ceuta, Spain (Strait of Gibraltar)","Ceuta al día, El Pueblo de Ceuta","35.871901875921, -5.343037665842",Western Mediterranean,"http://bit.ly/2uyj7qO, http://bit.ly/2uwj5zC",Uncategorized,3,
51590,Mediterranean,26-Mar-19,2019,Mar,1,,1,,,,,Drowning,"Body recovered on beach near Tetouan, Morocco (Strait of Gibraltar)",El Pueblo de Ceuta,"35.635115912988, -5.275650103548",Western Mediterranean,http,//bit.ly/2uwj5zC,Uncategorized,1
51580,US-Mexico Border,23-Mar-19,2019,Mar,1,,1,,,,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",,http,//www.humaneborders.info/,Northern America,5
51581,US-Mexico Border,23-Mar-19,2019,Mar,1,,1,,,,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",,http,//www.humaneborders.info/,Northern America,5
51586,Mediterranean,23-Mar-19,2019,Mar,4,4,8,,3,5,,Drowning,"Off the coast of Sfax, Tunisia","Shems FM, Tunisie Numérique, Kapitalis","35.317034468315, 11.078928258810",Central Mediterranean,"http://bit.ly/2U1K4C4, http://bit.ly/2HJW70B, http://tiny.cc/ekhi4y, http://tiny.cc/rshi4y",Uncategorized,3,
51578,US-Mexico Border,21-Mar-19,2019,Mar,1,,1,,,,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",,http,//www.humaneborders.info/,Northern America,5
51579,US-Mexico Border,21-Mar-19,2019,Mar,1,,1,,,,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",,http,//www.humaneborders.info/,Northern America,5
51548,Mediterranean,19-Mar-19,2019,Mar,1,3,4,15,,,1,Drowning,"Between Sabratha and Surman, Libya",IOM Libya,"32.816243467052, 12.530851413107",Central Mediterranean,"http://bit.ly/2ue4qZx, https://bit.ly/2TR74nh, https://bit.ly/2UJ88Gh",Uncategorized,3,
51546,Mediterranean,18-Mar-19,2019,Mar,3,,3,52,,,,Drowning,"Unspecified location in the Alboran Sea, off the coast of Nador, Morocco","Caminando Fronteras, Huffington Post Maghreb","35.267895220573, -2.799562392362",Western Mediterranean,"http://bit.ly/2TVZas5, http://bit.ly/2HHj7MI",Uncategorized,4,
51547,North Africa,17-Mar-19,2019,Mar,,19,19,1,,,,Drowning,"Off the coast of Sidi Warzeg, Sidi Ifni, near Agadir, Morocco",Hams News,"29.425766218075, -10.453333285156",Western African,"https://bit.ly/2TiLeUS, https://twitter.com/alzoubeidi/status/1107329875013193731",Uncategorized,1,
51577,US-Mexico Border,15-Mar-19,2019,Mar,1,,1,,,,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.331803200000, -112.524509300000",,http,//www.humaneborders.info/,Northern America,5
